date_sk,date,browser_name,operating_system,device_type,is_mobile,device_category,total_requests,unique_hosts,avg_response_time_ms,total_bytes_sent,pct_of_daily_traffic,browser_rank
20091024,2009-10-24,Other,Other,Other,0,Desktop,5,1,171.20,0,45.45,1
20091024,2009-10-24,IE,Windows,Desktop,0,Desktop,3,1,222.00,0,27.27,2
20091024,2009-10-24,Firefox,Windows,Desktop,0,Desktop,3,2,130.00,0,27.27,3
20091025,2009-10-25,IE,Windows,Desktop,0,Desktop,20,1,131.15,0,18.18,1
20091102,2009-11-02,IE,Windows,Desktop,0,Desktop,3553,7,141.42,0,94.97,1
20091102,2009-11-02,Firefox,Windows,Desktop,0,Desktop,88,2,252.15,0,2.35,2
20091102,2009-11-02,Firefox,Mac OS X,Desktop,0,Desktop,71,1,162.41,0,1.90,3
20091102,2009-11-02,Safari,Mac OS X,Desktop,0,Desktop,29,1,170.24,0,0.78,4
20091103,2009-11-03,IE,Windows,Desktop,0,Desktop,2982,6,142.21,0,82.10,1
20091103,2009-11-03,Firefox,Windows,Desktop,0,Desktop,299,2,445.16,0,8.23,2
20091103,2009-11-03,Firefox,Mac OS X,Desktop,0,Desktop,207,1,161.99,0,5.70,3
20091103,2009-11-03,Safari,Mac OS X,Desktop,0,Desktop,144,1,147.97,0,3.96,4
20091106,2009-11-06,IE,Windows,Desktop,0,Desktop,187,2,175.66,0,66.55,1
20091106,2009-11-06,Firefox,Mac OS X,Desktop,0,Desktop,72,1,128.82,0,25.62,2
20091106,2009-11-06,Safari,Mac OS X,Desktop,0,Desktop,22,1,124.32,0,7.83,3
20091120,2009-11-20,IE,Windows,Desktop,0,Desktop,939,2,313.46,0,97.10,1
20091120,2009-11-20,Other,Other,Other,0,Desktop,18,1,143.17,0,1.86,2
20091120,2009-11-20,IE,Windows,Other,0,Desktop,10,1,81.00,0,1.03,3
20091123,2009-11-23,IE,Windows,Desktop,0,Desktop,1444,7,136.60,0,73.94,1
20091123,2009-11-23,Safari,Mac OS X,Desktop,0,Desktop,326,2,60.68,0,16.69,2
20091123,2009-11-23,Firefox,Windows,Desktop,0,Desktop,172,2,90.77,0,8.81,3
20091123,2009-11-23,Firefox,Linux,Desktop,0,Desktop,2,1,930.00,0,0.10,4
20091130,2009-11-30,Firefox,Mac OS X,Desktop,0,Desktop,410,2,625.20,0,67.88,1
20091130,2009-11-30,Googlebot,Other,Bot,0,Mobile/Tablet,168,1,326.59,0,27.81,2
20091130,2009-11-30,Googlebot-Image,Other,Bot,0,Mobile/Tablet,17,1,158.41,0,2.81,3
20091130,2009-11-30,Firefox,Windows,Desktop,0,Desktop,6,2,431.00,0,0.99,4
20091130,2009-11-30,IE,Windows,Desktop,0,Desktop,1,1,319.00,0,0.17,5
20091130,2009-11-30,Maxthon,Windows,Desktop,0,Desktop,1,1,368.00,0,0.17,6
20091130,2009-11-30,Safari,Mac OS X,Desktop,0,Desktop,1,1,496.00,0,0.17,7
20091207,2009-12-07,Googlebot,Other,Bot,0,Mobile/Tablet,1681,4,342.09,0,50.95,1
20091207,2009-12-07,IE,Windows,Desktop,0,Desktop,922,34,363.74,0,27.95,2
20091207,2009-12-07,robot,Other,Bot,0,Mobile/Tablet,201,1,638.55,0,6.09,3
20091207,2009-12-07,Firefox,Windows,Desktop,0,Desktop,171,19,614.81,0,5.18,4
20091207,2009-12-07,Googlebot-Image,Other,Bot,0,Mobile/Tablet,106,1,289.62,0,3.21,5
