date_sk,date,total_crawler_requests,distinct_pages_hit,distinct_hosts_hit,total_bytes_transferred,avg_bytes_per_request,avg_response_time_ms,max_response_time_ms,pages_with_errors,pct_error_responses
20091024,2009-10-24,5,3,1,0,0.00,192.80,443,2,40.00
20091130,2009-11-30,186,186,1,0,0.00,313.62,1458,0,0.00
20091207,2009-12-07,2074,1919,11,0,0.00,381.44,3787,2,0.82
20091211,2009-12-11,457,403,8,0,0.00,607.07,3208,2,4.81
20091213,2009-12-13,758,722,8,0,0.00,699.06,6817,2,1.98
20100104,2010-01-04,488,413,14,0,0.00,416.90,2627,2,5.53
20100105,2010-01-05,722,618,10,0,0.00,505.55,3450,5,3.74
20100106,2010-01-06,944,798,13,0,0.00,465.85,4406,2,2.44
20100112,2010-01-12,5983,2984,21,0,0.00,308.11,1903,2,0.64
20100113,2010-01-13,1938,1738,14,0,0.00,538.89,2207,2,1.39
20100117,2010-01-17,1728,1594,14,0,0.00,386.36,3102,2,1.50
20100131,2010-01-31,628,527,11,0,0.00,546.67,3138,2,3.98
20100204,2010-02-04,1103,906,20,0,0.00,734.22,3361,2,2.90
20100205,2010-02-05,381,292,36,0,0.00,579.92,2938,2,9.45
20100221,2010-02-21,464,385,47,0,0.00,426.24,2071,2,7.33
20100302,2010-03-02,545,435,40,0,0.00,435.62,2343,2,7.71
20100304,2010-03-04,525,436,39,0,0.00,442.68,5568,2,6.10
20100307,2010-03-07,781,623,45,0,0.00,388.15,2837,4,5.38
20100309,2010-03-09,470,389,35,0,0.00,454.96,4838,2,8.30
20100314,2010-03-14,573,471,57,0,0.00,576.86,12341,2,8.73
20100315,2010-03-15,775,648,44,0,0.00,448.19,23022,2,6.71
20100322,2010-03-22,632,541,55,0,0.00,506.82,49056,2,7.59
20100406,2010-04-06,528,452,54,0,0.00,505.44,2150,2,7.95
20100419,2010-04-19,730,613,72,0,0.00,553.16,2759,2,5.34
20100422,2010-04-22,703,643,64,0,0.00,509.61,6950,2,5.12
20100423,2010-04-23,1151,1093,64,0,0.00,470.80,2324,2,2.61
20100424,2010-04-24,428,367,64,0,0.00,517.50,1939,2,6.07
20100425,2010-04-25,388,338,50,0,0.00,647.40,48952,2,7.22
20100430,2010-04-30,623,534,62,0,0.00,469.36,2051,33,11.08
20100519,2010-05-19,585,482,80,0,0.00,548.00,4264,3,8.89
20100520,2010-05-20,753,604,84,0,0.00,563.99,48869,2,6.51
20100526,2010-05-26,588,475,68,0,0.00,510.28,3253,2,9.52
20100528,2010-05-28,793,636,88,0,0.00,512.64,3808,3,7.69
20100612,2010-06-12,630,535,31,0,0.00,482.90,2239,2,8.10
20100615,2010-06-15,512,432,32,0,0.00,623.84,49534,2,8.59
20100619,2010-06-19,500,419,42,0,0.00,445.86,3953,2,11.00
20100622,2010-06-22,673,569,47,0,0.00,404.66,2676,2,8.47
20100626,2010-06-26,525,424,42,0,0.00,518.16,7573,2,10.48
20100628,2010-06-28,558,470,39,0,0.00,586.76,2744,2,9.86
20100629,2010-06-29,486,392,41,0,0.00,662.38,7953,3,12.76
20100630,2010-06-30,665,566,47,0,0.00,487.37,2551,2,8.87
20100705,2010-07-05,495,410,24,0,0.00,505.58,1717,2,8.89
20100708,2010-07-08,508,419,26,0,0.00,484.58,2100,3,8.66
20100714,2010-07-14,399,339,27,0,0.00,701.76,33203,4,9.77
20100718,2010-07-18,452,369,31,21203385,46910.14,531.86,3148,2,11.06
20100725,2010-07-25,529,454,23,5671430,10721.04,439.65,1900,2,7.56
20100801,2010-08-01,373,303,23,21952890,58854.93,513.36,48578,2,8.58
20100808,2010-08-08,573,489,29,5272192,9201.03,472.31,5112,2,8.73
