date_sk,date,day_name,is_weekend,holiday_flag,year,month,total_requests,unique_hosts,unique_human_hosts,unique_pages,active_countries,total_404,pct_404,avg_response_time_ms,p95_response_time_ms,total_bytes_sent,crawler_requests,pct_crawler,direct_traffic_requests,slow_requests,pct_slow_requests
20091024,2009-10-24,Saturday,Yes,No,2009,10,11,3,2,9,2,8,72.73,173.82,335.00,0,5,45.45,11,0,0.00
20091025,2009-10-25,Sunday,Yes,No,2009,10,110,2,2,101,2,98,89.09,120.62,184.65,0,0,0.00,110,0,0.00
20091102,2009-11-02,Monday,No,No,2009,11,3741,7,7,721,1,264,7.06,144.65,371.00,0,0,0.00,3741,2,0.05
20091103,2009-11-03,Tuesday,No,No,2009,11,3632,7,7,846,1,383,10.55,168.50,470.90,0,0,0.00,3632,1,0.03
20091106,2009-11-06,Friday,No,No,2009,11,281,2,2,98,1,31,11.03,159.64,464.00,0,0,0.00,281,0,0.00
20091120,2009-11-20,Friday,No,No,2009,11,967,4,4,560,3,124,12.82,307.89,870.10,0,0,0.00,967,0,0.00
20091123,2009-11-23,Monday,No,No,2009,11,1953,11,11,720,3,226,11.57,121.37,457.40,0,0,0.00,1953,0,0.00
20091130,2009-11-30,Monday,No,No,2009,11,604,7,6,396,2,48,7.95,525.93,1123.45,0,186,30.79,604,7,1.16
20091207,2009-12-07,Monday,No,No,2009,12,3299,85,74,2222,22,165,5.00,390.20,852.50,0,2074,62.87,3299,13,0.39
20091211,2009-12-11,Friday,No,No,2009,12,1047,53,45,522,19,94,8.98,485.79,1122.80,0,457,43.65,1047,0,0.00
20091213,2009-12-13,Sunday,Yes,No,2009,12,1474,32,24,952,14,128,8.68,567.81,1189.05,0,758,51.42,1474,5,0.34
20100104,2010-01-04,Monday,No,No,2010,1,1633,58,44,1031,24,119,7.29,701.91,1464.20,0,488,29.88,1633,16,0.98
20100105,2010-01-05,Tuesday,No,No,2010,1,1595,50,40,870,21,125,7.84,574.51,1087.00,0,722,45.27,1595,12,0.75
20100106,2010-01-06,Wednesday,No,No,2010,1,3571,56,43,1832,22,194,5.43,397.01,852.00,0,944,26.44,3571,5,0.14
20100112,2010-01-12,Tuesday,No,No,2010,1,7084,132,111,3171,24,161,2.27,377.86,629.00,0,5983,84.46,7084,10,0.14
20100113,2010-01-13,Wednesday,No,No,2010,1,3197,55,41,2212,20,168,5.25,468.06,1342.00,0,1938,60.62,3197,4,0.13
20100117,2010-01-17,Sunday,Yes,No,2010,1,2724,60,46,1816,19,142,5.21,424.01,845.85,0,1728,63.44,2724,9,0.33
20100131,2010-01-31,Sunday,Yes,No,2010,1,1531,46,35,886,18,166,10.84,455.90,1388.00,0,628,41.02,1531,4,0.26
20100204,2010-02-04,Thursday,No,No,2010,2,3071,66,46,1543,25,175,5.70,810.32,1541.50,0,1103,35.92,3071,48,1.56
20100205,2010-02-05,Friday,No,No,2010,2,825,88,52,380,22,96,11.64,491.45,1300.60,0,381,46.18,825,1,0.12
20100221,2010-02-21,Sunday,Yes,No,2010,2,1134,105,58,719,15,97,8.55,728.49,1119.40,0,464,40.92,1134,12,1.06
20100302,2010-03-02,Tuesday,No,No,2010,3,2897,82,42,1291,21,478,16.50,303.76,853.00,0,545,18.81,2897,11,0.38
20100304,2010-03-04,Thursday,No,No,2010,3,1681,90,51,777,14,172,10.23,375.73,939.00,0,525,31.23,1681,3,0.18
20100307,2010-03-07,Sunday,Yes,No,2010,3,1084,72,27,703,14,82,7.56,408.64,864.85,0,781,72.05,1084,2,0.18
20100309,2010-03-09,Tuesday,No,No,2010,3,1492,79,44,766,19,133,8.91,317.60,839.10,0,470,31.50,1492,1,0.07
20100314,2010-03-14,Sunday,Yes,No,2010,3,1811,129,72,941,17,137,7.56,329.55,879.50,0,573,31.64,1811,4,0.22
20100315,2010-03-15,Monday,No,No,2010,3,3401,86,42,1606,18,231,6.79,287.05,849.00,0,775,22.79,3401,14,0.41
20100322,2010-03-22,Monday,No,No,2010,3,1906,132,77,927,21,199,10.44,445.40,1042.50,0,632,33.16,1906,8,0.42
20100406,2010-04-06,Tuesday,No,No,2010,4,2738,111,57,875,23,193,7.05,480.32,907.50,0,528,19.28,2738,18,0.66
20100419,2010-04-19,Monday,No,No,2010,4,1860,135,63,961,22,163,8.76,457.15,971.15,0,730,39.25,1860,5,0.27
20100422,2010-04-22,Thursday,No,No,2010,4,1953,119,55,1395,21,131,6.71,492.41,1467.60,0,703,36.00,1953,10,0.51
20100423,2010-04-23,Friday,No,No,2010,4,2133,161,97,1376,26,122,5.72,521.36,1477.40,0,1151,53.96,2133,14,0.66
20100424,2010-04-24,Saturday,Yes,No,2010,4,1016,155,91,484,19,108,10.63,629.60,1200.75,0,428,42.13,1016,8,0.79
20100425,2010-04-25,Sunday,Yes,No,2010,4,1731,131,81,873,22,198,11.44,503.36,1214.50,0,388,22.41,1731,8,0.46
20100430,2010-04-30,Friday,No,No,2010,4,1905,169,107,962,16,174,9.13,470.37,1579.60,0,623,32.70,1905,11,0.58
20100519,2010-05-19,Wednesday,No,No,2010,5,1546,168,88,918,25,220,14.23,544.21,1261.75,0,585,37.84,1546,13,0.84
20100520,2010-05-20,Thursday,No,No,2010,5,1217,165,81,722,16,107,8.79,505.60,878.60,0,753,61.87,1217,3,0.25
20100526,2010-05-26,Wednesday,No,No,2010,5,1460,163,95,789,21,154,10.55,545.89,1285.65,0,588,40.27,1460,10,0.68
20100528,2010-05-28,Friday,No,No,2010,5,1491,182,94,863,19,132,8.85,418.62,966.00,0,793,53.19,1491,1,0.07
20100612,2010-06-12,Saturday,Yes,No,2010,6,979,90,59,691,12,82,8.38,443.50,695.40,0,630,64.35,979,3,0.31
20100615,2010-06-15,Tuesday,No,No,2010,6,1133,119,87,632,18,118,10.41,684.51,1415.40,0,512,45.19,1133,14,1.24
20100619,2010-06-19,Saturday,Yes,No,2010,6,1095,105,63,737,12,104,9.50,394.05,890.90,0,500,45.66,1095,0,0.00
20100622,2010-06-22,Tuesday,No,No,2010,6,1582,131,84,873,16,195,12.33,426.03,1171.25,0,673,42.54,1582,5,0.32
20100626,2010-06-26,Saturday,Yes,No,2010,6,964,113,71,564,14,107,11.10,445.17,971.70,0,525,54.46,964,1,0.10
20100628,2010-06-28,Monday,No,No,2010,6,1141,108,69,598,15,129,11.31,480.45,1079.00,0,558,48.90,1141,1,0.09
20100629,2010-06-29,Tuesday,No,No,2010,6,1086,107,66,543,14,142,13.08,455.62,992.75,0,486,44.75,1086,2,0.18
20100630,2010-06-30,Wednesday,No,No,2010,6,1069,109,62,710,13,96,8.98,425.03,947.80,0,665,62.21,1069,1,0.09
20100705,2010-07-05,Monday,No,No,2010,7,1087,87,63,672,11,92,8.46,411.01,748.40,0,495,45.54,1087,3,0.28
20100708,2010-07-08,Thursday,No,No,2010,7,1723,100,74,1177,15,366,21.24,326.54,901.80,0,508,29.48,1723,5,0.29
20100714,2010-07-14,Wednesday,No,No,2010,7,977,100,73,469,14,112,11.46,515.16,1012.60,0,399,40.84,977,5,0.51
20100718,2010-07-18,Sunday,Yes,No,2010,7,1678,173,142,988,14,503,29.98,501.39,1535.20,50714171,452,26.94,1064,6,0.36
20100725,2010-07-25,Sunday,Yes,No,2010,7,1351,96,73,931,12,307,22.72,442.94,876.50,10496873,529,39.16,909,2,0.15
20100801,2010-08-01,Sunday,Yes,No,2010,8,859,87,64,511,12,237,27.59,470.49,1026.60,25390161,373,43.42,602,6,0.70
20100808,2010-08-08,Sunday,Yes,No,2010,8,799,88,59,550,13,71,8.89,433.37,895.00,8410176,573,71.71,636,2,0.25
20100809,2010-08-09,Monday,No,No,2010,8,3379,174,143,1172,15,285,8.43,727.95,1732.00,19658124,803,23.76,2371,29,0.86
20100830,2010-08-30,Monday,No,Yes,2010,8,897,93,68,450,18,95,10.59,433.67,1299.20,9599890,424,47.27,493,0,0.00
20100906,2010-09-06,Monday,No,No,2010,9,831,87,64,515,13,72,8.66,447.19,1005.50,8658560,553,66.55,609,7,0.84
20100912,2010-09-12,Sunday,Yes,No,2010,9,1310,95,70,783,18,108,8.24,770.36,874.35,29530311,626,47.79,707,28,2.14
20100916,2010-09-16,Thursday,No,No,2010,9,1732,121,93,997,22,173,9.99,470.46,1410.25,16579346,519,29.97,672,10,0.58
20100923,2010-09-23,Thursday,No,No,2010,9,1853,87,65,951,14,159,8.58,335.57,838.60,34295519,603,32.54,713,4,0.22
20100924,2010-09-24,Friday,No,No,2010,9,1217,84,60,678,14,79,6.49,286.13,891.60,13296667,461,37.88,552,0,0.00
20100926,2010-09-26,Sunday,Yes,No,2010,9,1374,84,64,831,17,202,14.70,564.65,1213.10,13700189,840,61.14,1001,17,1.24
20101008,2010-10-08,Friday,No,No,2010,10,2612,101,73,1969,17,221,8.46,282.49,719.35,31730624,442,16.92,1928,2,0.08
20101020,2010-10-20,Wednesday,No,No,2010,10,1205,112,81,598,20,255,21.16,849.01,1527.60,13303515,278,23.07,526,25,2.07
20101023,2010-10-23,Saturday,Yes,No,2010,10,2199,161,131,1706,13,85,3.87,615.89,1539.40,31589226,322,14.64,1822,28,1.27
20101025,2010-10-25,Monday,No,No,2010,10,1204,194,159,510,18,139,11.54,542.45,1694.40,16242500,291,24.17,552,4,0.33
20101027,2010-10-27,Wednesday,No,No,2010,10,1954,193,166,960,14,362,18.53,677.96,1637.00,22202008,275,14.07,747,11,0.56
20101031,2010-10-31,Sunday,Yes,No,2010,10,1092,183,159,473,22,109,9.98,664.10,1722.45,12778846,404,37.00,661,11,1.01
20101101,2010-11-01,Monday,No,No,2010,11,2029,200,173,808,25,181,8.92,618.30,1628.60,23442720,349,17.20,698,12,0.59
20101111,2010-11-11,Thursday,No,No,2010,11,1242,123,98,649,15,117,9.42,345.31,930.95,26645157,351,28.26,562,1,0.08
20101113,2010-11-13,Saturday,Yes,No,2010,11,1295,191,168,634,17,117,9.03,898.58,1910.20,35581419,462,35.68,748,9,0.69
20101118,2010-11-18,Thursday,No,No,2010,11,1255,151,127,737,21,140,11.16,789.46,1850.50,47881591,539,42.95,740,25,1.99
20101126,2010-11-26,Friday,No,No,2010,11,1828,126,90,789,19,138,7.55,633.19,1674.20,23383191,585,32.00,709,8,0.44
20101202,2010-12-02,Thursday,No,No,2010,12,891,137,109,428,21,88,9.88,494.44,1584.50,11227854,417,46.80,549,2,0.22
20101212,2010-12-12,Sunday,Yes,No,2010,12,1329,165,127,642,19,240,18.06,471.36,1582.00,12396696,418,31.45,718,4,0.30
20101215,2010-12-15,Wednesday,No,No,2010,12,1474,271,232,523,27,145,9.84,783.70,1826.40,32626215,581,39.42,921,13,0.88
20101223,2010-12-23,Thursday,No,No,2010,12,980,93,63,568,16,117,11.94,504.11,1335.05,8785756,421,42.96,497,1,0.10
20101225,2010-12-25,Saturday,Yes,No,2010,12,811,88,54,516,11,95,11.71,417.59,883.50,7272327,551,67.94,619,0,0.00
20110119,2011-01-19,Wednesday,No,No,2011,1,2033,130,78,1158,16,206,10.13,395.06,1075.80,39842998,1013,49.83,1165,7,0.34
20110130,2011-01-30,Sunday,Yes,No,2011,1,878,99,54,570,15,106,12.07,617.76,1822.90,10889467,465,52.96,526,6,0.68
20110205,2011-02-05,Saturday,Yes,No,2011,2,763,120,59,329,20,111,14.55,977.14,1141.80,9905081,329,43.12,411,11,1.44
20110209,2011-02-09,Wednesday,No,No,2011,2,2137,136,80,1171,24,191,8.94,493.30,1227.20,35270875,272,12.73,376,11,0.51
20110212,2011-02-12,Saturday,Yes,No,2011,2,979,143,86,517,17,106,10.83,580.43,1473.10,10026377,475,48.52,563,6,0.61
20110218,2011-02-18,Friday,No,No,2011,2,2045,122,80,1127,25,181,8.85,521.78,1292.80,43744782,906,44.30,969,10,0.49
20110306,2011-03-06,Sunday,Yes,No,2011,3,1024,100,77,464,20,122,11.91,675.23,1732.25,26281488,280,27.34,399,9,0.88
20110405,2011-04-05,Tuesday,No,No,2011,4,2300,141,102,1608,22,143,6.22,427.93,948.35,33787466,1521,66.13,1604,14,0.61
20110407,2011-04-07,Thursday,No,No,2011,4,1829,114,82,1080,23,180,9.84,355.40,849.80,16884618,853,46.64,975,5,0.27
20110411,2011-04-11,Monday,No,No,2011,4,2509,144,109,1681,26,216,8.61,433.89,827.00,31806654,1495,59.59,1666,10,0.40
20110424,2011-04-24,Sunday,Yes,No,2011,4,1318,84,63,926,22,83,6.30,384.53,1007.15,12056076,822,62.37,878,8,0.61
20110427,2011-04-27,Wednesday,No,No,2011,4,1583,109,91,775,22,151,9.54,396.22,962.80,35019659,433,27.35,536,10,0.63
20110504,2011-05-04,Wednesday,No,No,2011,5,1487,130,91,771,24,161,10.83,480.06,1474.30,13893265,644,43.31,741,14,0.94
20110510,2011-05-10,Tuesday,No,No,2011,5,2638,115,93,1416,17,352,13.34,512.04,1407.20,31757745,758,28.73,1093,52,1.97
