page_sk,page_path,page_category,total_requests,unique_hosts,total_404,pct_404,total_bytes_sent,avg_response_time_ms,p95_response_time_ms,max_response_time_ms,slow_requests,pct_slow_requests,active_days
1,/,Directory,5074,817,0,0.00,1311138,418.88,605.70,19489,19,0.37,92
2,/,Directory,1,1,0,0.00,0,93.00,93.00,93,0,0.00,1
3,/a1b2c3d4e5f6g7h8i9/nonexistentfile.php,Other,2,2,2,100.00,1368,175.50,318.15,334,0,0.00,2
4,/abc.php,Other,1,1,1,100.00,0,92.00,92.00,92,0,0.00,1
5,/admin/,Other,5,3,5,100.00,7120,360.40,568.20,597,0,0.00,3
6,/Admin/,Other,3,1,3,100.00,4272,429.00,558.40,581,0,0.00,1
7,/admin/config/config.inc.php,Other,4,4,4,100.00,0,145.00,199.80,207,0,0.00,4
8,/admin/database/main.php,Other,1,1,1,100.00,0,120.00,120.00,120,0,0.00,1
9,/admin/datenbank/main.php,Other,1,1,1,100.00,0,119.00,119.00,119,0,0.00,1
10,/admin/db/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
11,/admin/index.php,Other,1,1,1,100.00,1424,201.00,201.00,201,0,0.00,1
12,/admin/main.php,Other,10,7,10,100.00,4272,100.60,190.45,208,0,0.00,8
13,/admin/myadmin/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
14,/admin/mysql-admin/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
15,/admin/mysqladmin/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
16,/admin/mysql/main.php,Other,2,2,2,100.00,0,65.50,114.55,120,0,0.00,2
17,/admin/mysql/scripts/setup.php,Other,5,5,5,100.00,7025,354.20,577.60,607,0,0.00,4
18,/admin/padmin/main.php,Other,1,1,1,100.00,0,119.00,119.00,119,0,0.00,1
19,/admin/phpMyAdmin-2.2.3/main.php,Other,2,2,2,100.00,0,65.50,114.55,120,0,0.00,2
20,/admin/phpMyAdmin-2.2.6/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
21,/admin/phpMyAdmin-2.5.1/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
22,/admin/phpMyAdmin-2.5.4/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
23,/admin/phpMyAdmin-2.5.6/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
24,/admin/phpMyAdmin-2.6.0/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
25,/admin/phpMyAdmin-2.6.0-pl1/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
26,/admin/phpMyAdmin-2.6.2-rc1/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
27,/admin/phpMyAdmin-2.6.3/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
28,/admin/phpMyAdmin-2.6.3-pl1/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
29,/admin/phpMyAdmin-2.6.3-rc1/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
30,/admin/phpmyadmin2/main.php,Other,2,2,2,100.00,0,65.50,114.55,120,0,0.00,2
31,/admin/php-my-admin/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
32,/admin/phpmyadmin/main.php,Other,1,1,1,100.00,0,119.00,119.00,119,0,0.00,1
33,/admin/phpMyAdmin/main.php,Other,1,1,1,100.00,0,119.00,119.00,119,0,0.00,1
34,/admin/phpmyadmin/read_dump.phpmain.php,Other,1,1,1,100.00,0,21.00,21.00,21,0,0.00,1
35,/admin/phpmyadmin/scripts/setup.php,Other,12,11,12,100.00,16993,282.83,566.65,631,0,0.00,10
36,/admin/pMA/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
37,/admin/pma/read_dump.phpmain.php,Other,1,1,1,100.00,0,21.00,21.00,21,0,0.00,1
38,/admin/pma/scripts/setup.php,Other,12,11,12,100.00,16993,279.33,542.20,584,0,0.00,10
39,/admin/read_dump.phpmain.php,Other,1,1,1,100.00,0,21.00,21.00,21,0,0.00,1
40,/admin/scripts/setup.php,Other,13,12,13,100.00,16993,272.92,558.80,638,0,0.00,11
41,/admin/sqladmin/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
42,/admin/sqlweb/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
43,/admin/sysadmin/main.php,Other,2,2,2,100.00,0,65.50,113.65,119,0,0.00,2
44,/admin/webadmin/main.php,Other,2,2,2,100.00,0,64.50,112.65,118,0,0.00,2
45,/admin/webdb/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
46,/admin/web/main.php,Other,2,2,2,100.00,0,65.00,113.60,119,0,0.00,2
47,/admin/websql/main.php,Other,2,2,2,100.00,0,66.00,114.60,120,0,0.00,2
48,/ads/adxmlrpc.php,Other,2,2,2,100.00,1368,145.50,260.25,273,0,0.00,2
49,/Ads/adxmlrpc.php,Other,2,2,2,100.00,1368,146.00,261.20,274,0,0.00,2
50,/adserver/adxmlrpc.php,Other,2,2,2,100.00,1368,144.50,259.25,272,0,0.00,2
51,/adxmlrpc.php,Other,2,2,2,100.00,1368,145.50,260.25,273,0,0.00,2
52,/b2evo/xmlsrv/xmlrpc.php,Other,1,1,1,100.00,1368,18.00,18.00,18,0,0.00,1
53,/b2/xmlsrv/xmlrpc.php,Other,1,1,1,100.00,1368,18.00,18.00,18,0,0.00,1
54,/bin/README,Other,1,1,1,100.00,0,141.00,141.00,141,0,0.00,1
55,/blogs/xmlrpc.php,Other,1,1,1,100.00,1368,17.00,17.00,17,0,0.00,1
56,/blogs/xmlsrv/xmlrpc.php,Other,1,1,1,100.00,1368,18.00,18.00,18,0,0.00,1
57,/blogtest/xmlsrv/xmlrpc.php,Other,1,1,1,100.00,1368,17.00,17.00,17,0,0.00,1
58,/blog/xmlrpc.php,Other,1,1,1,100.00,1368,18.00,18.00,18,0,0.00,1
59,/blog/xmlsrv/xmlrpc.php,Other,1,1,1,100.00,1368,17.00,17.00,17,0,0.00,1
60,/browser.js,Script,395,284,0,0.00,122497,255.34,528.10,1630,0,0.00,85
61,/CACAATss,Other,1,1,1,100.00,1424,63.00,63.00,63,0,0.00,1
62,/CGE00271_75px.jpg,Image,3,3,3,100.00,4272,365.33,377.70,379,0,0.00,3
63,/cgi-bin/textenv.pl,Other,5,1,5,100.00,0,365.80,367.00,367,0,0.00,2
64,/CMSShared/,Other,6,4,0,0.00,0,51.00,78.75,86,0,0.00,6
65,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,130.33,258.90,281,0,0.00,1
66,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,168.00,168.00,168,0,0.00,1
67,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,60.33,81.50,85,0,0.00,1
68,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,41.00,41.00,41,0,0.00,1
69,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,122.67,249.00,271,0,0.00,1
70,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,40.00,40.00,40,0,0.00,1
71,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,59.67,72.80,75,0,0.00,1
72,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,41.00,41.00,41,0,0.00,1
73,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,69.00,69.00,69,0,0.00,1
74,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,65.67,80.70,83,0,0.00,1
75,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,83.00,83.00,83,0,0.00,1
76,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,74.67,85.70,86,0,0.00,1
77,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,43.00,43.00,43,0,0.00,1
78,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,58.33,73.50,76,0,0.00,1
79,/CMSShared/Chooser.aspx,Dynamic Page,1,1,0,0.00,0,80.00,80.00,80,0,0.00,1
80,/CMSShared/Chooser.aspx,Dynamic Page,3,1,0,0.00,0,128.33,248.90,270,0,0.00,1
81,/CMSShared/Chooser.aspx,Dynamic Page,4,1,0,0.00,0,614.75,1497.40,1642,0,0.00,1
82,/CMSShared/Darwin/Home.aspx,Dynamic Page,4,2,4,100.00,0,74.25,106.45,109,0,0.00,4
83,/cmsshared/document.aspx,Dynamic Page,1,1,0,0.00,0,689.00,689.00,689,0,0.00,1
84,/CMSShared/Document.aspx,Dynamic Page,1,1,0,0.00,0,1282.00,1282.00,1282,0,0.00,1
85,/CMSShared/Document.aspx,Dynamic Page,1,1,0,0.00,2866,2148.00,2148.00,2148,0,0.00,1
86,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,39225,300.78,442.20,517,0,0.00,17
87,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,26035,310.11,575.60,664,0,0.00,17
88,/CMSShared/Document.aspx,Dynamic Page,18,13,0,0.00,52195,278.06,431.65,458,0,0.00,16
89,/CMSShared/Document.aspx,Dynamic Page,18,17,0,0.00,34726,298.61,435.05,441,0,0.00,16
90,/CMSShared/Document.aspx,Dynamic Page,21,17,0,0.00,39183,384.24,717.00,879,0,0.00,20
91,/CMSShared/Document.aspx,Dynamic Page,39,26,0,0.00,87728,374.21,725.40,866,0,0.00,29
92,/CMSShared/Document.aspx,Dynamic Page,3,3,0,0.00,13161,216.00,429.90,466,0,0.00,2
93,/CMSShared/Document.aspx,Dynamic Page,26,20,0,0.00,39022,283.54,421.00,670,0,0.00,21
94,/CMSShared/Document.aspx,Dynamic Page,2,2,0,0.00,8350,480.00,603.30,617,0,0.00,2
95,/CMSShared/Document.aspx,Dynamic Page,31,22,0,0.00,37670,309.39,579.50,789,0,0.00,23
96,/CMSShared/Document.aspx,Dynamic Page,5,4,0,0.00,23048,277.40,436.60,442,0,0.00,3
97,/CMSShared/Document.aspx,Dynamic Page,36,24,0,0.00,45366,311.22,700.75,1216,0,0.00,27
98,/CMSShared/Document.aspx,Dynamic Page,15,12,0,0.00,34031,361.27,476.00,476,0,0.00,14
99,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,25.00,25.00,25,0,0.00,1
100,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,24.00,24.00,24,0,0.00,1
101,/CMSShared/Download.aspx,Dynamic Page,31,20,0,0.00,194052657,39383.55,128462.00,361370,17,54.84,26
102,/CMSShared/Download.aspx,Dynamic Page,37,25,0,0.00,4090463,2261.05,5775.20,11261,3,8.11,28
103,/CMSShared/Download.aspx,Dynamic Page,24,20,0,0.00,4090906,1804.96,3244.15,3728,0,0.00,19
104,/CMSShared/Download.aspx,Dynamic Page,35,23,0,0.00,5588060,3811.20,9232.60,39674,6,17.14,25
105,/CMSShared/Download.aspx,Dynamic Page,95,52,0,0.00,2328042,1005.98,2648.90,6016,1,1.05,52
106,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,620.00,620.00,620,0,0.00,1
107,/CMSShared/Download.aspx,Dynamic Page,1,1,0,0.00,0,702.00,702.00,702,0,0.00,1
