referrer_sk,referrer_url,referrer_domain,traffic_source
1,Direct,Direct,Direct
2,http%3a%2f%2fwww.darwinsbeagleplants.org%2f,Unknown,Referral
3,http://acidophil.com/judgment-can-birth-control-pills-cause-paronychia/,acidophil.com,Referral
4,http://bestfood.tk/nybg-herbarium,bestfood.tk,Referral
5,http://bracketserver.com/saitek-westlife-slash-mpreg/,bracketserver.com,Referral
6,http://comms.group.cam.ac.uk/research,comms.group.cam.ac.uk,Referral
7,http://comms-mac1.admin.cam.ac.uk/research,comms-mac1.admin.cam.ac.uk,Referral
8,http://compsy.com.mx/AtEvent/nsvd&page=4,compsy.com.mx,Referral
9,http://darwin.amnh.org/,darwin.amnh.org,Referral
10,http://darwin-online.org.uk/links.html,darwin-online.org.uk,Referral
11,http://darwin-online.org.uk/specimens.html,darwin-online.org.uk,Referral
12,http://darwinserver/Darwin/Home.aspx,darwinserver,Referral
13,http://darwinserver/Darwin/style.css,darwinserver,Referral
14,http://directgrid.com/typo3/guettarda-speciosa&page=2,directgrid.com,Referral
15,http://haberveriyorum.net/haber/darwini-bitiren-balik,haberveriyorum.net,Referral
16,http://image.search.yahoo.co.jp/search?p=Myxx&fr=top_ga1_sa&ei=UTF-8&xargs=0&pstart=1&b=221&atview=1&d=20,image.search.yahoo.co.jp,Search Engine
17,"http://images.google.com/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_0x3bbvT_2021.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D140%26pid%3D0%26prcid%3D0%26ppid%3D0&usg=__xw54SnFVflLxjyDgIQDP9tLhzCM=&h=331&w=219&sz=18&hl=es&start=0&zoom=1&tbnid=iKenGCGmjL2DpM:&tbnh=130&tbnw=86&prev=/images%3Fq%3DVallesia%2Bglabra%2B(Cav.)%2BLink%26hl%3Des%26sa%3DG%26biw%3D1276%26bih%3D567%26gbv%3D2%26tbs%3Disch:1&itbs=1&iact=hc&vpx=443&vpy=38&dur=1440&hovh=264&hovw=175&tx=80&ty=123&ei=dh7cTNWJNoqisAORxp3lAw&oei=dh7cTNWJNoqisAORxp3lAw&esq=1&page=1&ndsp=26&ved=1t:429,r:2,s:0",images.google.com,Search Engine
18,http://images.google.com/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_jAzvKvR_377.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Place.aspx%3Fp%3D25%26ix%3D15%26pid%3D1%26prcid%3D27%26ppid%3D1500&usg=__Jgb-Oqfz6XZntISZ26kxYZk1soU=&h=100&w=67&sz=8&hl=de&start=19&zoom=1&tbnid=ooQqrjH4NwKP0M:&tbnh=82&tbnw=55&prev=/images%3Fq%3DCtenitis%26hl%3Dde%26sa%3DG%26tbs%3Disch:1&itbs=1,images.google.com,Search Engine
19,http://images.google.com/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_nsvdDpM_587.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Place.aspx%3Fp%3D25%26ix%3D1%26pid%3D1%26prcid%3D27%26ppid%3D1500&usg=__awEQGBzRbsIsKW3WDt9aynnKvpM=&h=100&w=67&sz=7&hl=ar&start=72&zoom=0&tbnid=yEfky2u17nKoSM:&tbnh=82&tbnw=55&prev=/images%3Fq%3Dnsvd%26start%3D54%26hl%3Dar%26safe%3Dactive%26ie%3DUTF-8%26tbs%3Disch:1&itbs=1,images.google.com,Search Engine
20,"http://images.google.com/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_v9qJdzL_4206.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D49%26pid%3D1%26prcid%3D26%26ppid%3D1502&usg=__R-I6a8SyQW14n_oHz2CWDUsA96s=&h=331&w=219&sz=20&hl=en&start=35&zoom=0&tbnid=J5InyNTKrZx4DM:&tbnh=119&tbnw=79&ei=O-pSTcTaN5L6swP3pq2_Bg&prev=/images%3Fq%3DCyperus%2Bstrigosus%26hl%3Den%26sa%3DG%26biw%3D971%26bih%3D550%26tbs%3Disch:10%2C1006&itbs=1&iact=hc&vpx=541&vpy=153&dur=2132&hovh=119&hovw=79&tx=69&ty=68&oei=wOlSTerMJIn6swOq8rHKBg&esq=6&page=3&ndsp=18&ved=1t:429,r:9,s:35&biw=971&bih=550",images.google.com,Search Engine
21,"http://images.google.com/imgres?imgurl=http://www.darwinsbeagleplants.org/Darwin/ImageCache/cache_X6OyBKK_441.jpeg&imgrefurl=http://www.darwinsbeagleplants.org/Darwin/Place.aspx%3Fp%3D25%26ix%3D1%26pid%3D1%26prcid%3D27%26ppid%3D1500&usg=__OHJDcqeF381MMhX-Sg7FcJH9hVE=&h=100&w=67&sz=6&hl=en&start=0&zoom=0&tbnid=W-jQwhVYokc9NM:&tbnh=82&tbnw=55&prev=/images%3Fq%3D%2527Crotalaria%2Baffinis%2527%26hl%3Den%26biw%3D1280%26bih%3D685%26tbs%3Disch:1&itbs=1&iact=hc&vpx=481&vpy=424&dur=248&hovh=82&hovw=55&tx=73&ty=45&ei=4QvDTMH_LtO9cfmRlNgL&oei=4QvDTMH_LtO9cfmRlNgL&esq=1&page=1&ndsp=28&ved=1t:429,r:16,s:0",images.google.com,Search Engine
22,http://images.google.it/images?q=Vallesia%20glabra%20(Cav.)%20Link,images.google.it,Search Engine
23,http://images.search.yahoo.com/images/view?back=http%3A%2F%2Fimages.search.yahoo.com%2Fsearch%2Fimages%3Fp%3Dmounted%2Bbotanical%2Bspecimens%26b%3D21%26ni%3D20%26ei%3DUTF-8%26xargs%3D0%26pstart%3D1%26fr%3Dyfp-t-701%26fr2%3Dtab-web&w=512&h=770&imgurl=www.darwinsbeagleplants.org%2FDarwin%2FCGE00271_ImageMap.jpg&rurl=http%3A%2F%2Fwww.darwinsbeagleplants.org%2FDarwin%2FHerbariumSheet.aspx&size=265KB&name=Herbarium+Sheets&p=mounted+botanical+specimens&oid=bc0fb3c9effedff36b5ac24193b39724&fr2=tab-web&no=29&tt=395&b=21&ni=20&sigr=11t0hghjk&sigi=11o0kng51&sigb=1489glkib&.crumb=CXUy9/wzrZp,images.search.yahoo.com,Search Engine
24,http://in.search.yahoo.com/search;_ylt=AlIajXkBnP8OcFW_tlI6WWWuitIF?vc=&p=adiantum+aspera&toggle=1&cop=mss&ei=UTF-8&fr=fptb-msgr,in.search.yahoo.com,Search Engine
25,http://kagram56anova-69.co.gp/lathyrus-nervosus.html,kagram56anova-69.co.gp,Referral
26,http://mega-pixicio.in/keyword/herbarium%20sheets/,mega-pixicio.in,Referral
27,http://mywbs.com,mywbs.com,Referral
28,http://northernterritory.inetgiant.com.au/darwin/home/rocks-and-fossils,northernterritory.inetgiant.com.au,Referral
29,http://pic.sogou.com,pic.sogou.com,Referral
30,http://pos-darwinista.blogspot.com/2011/02/o-egito-e-os-estados-unidos-de-um-jeito.html,pos-darwinista.blogspot.com,Referral
31,http://pos-darwinista.blogspot.com/2011/02/os-contos-de-fada-de-darwin.html,pos-darwinista.blogspot.com,Referral
32,http://qubodizajn.com/wp-admin/gunnera-magellanica&page=4,qubodizajn.com,Referral
33,http://search.yahoo.com/search;_ylt=A0oG7lgawc5MsXoBgChXNyoA;_ylc=X1MDMjc2NjY3OQRfcgMyBGZyA3lmcC10LTk0MC1zBGZyMgNzYS1ncARncHJpZAMEaG9zdHB2aWQDeDgyamcwb0c3djVsM2g5Y1RNaHR3QTBHMlBaQ0wwek93Um9BQ3NEZARuX2dwcwMxMARuX3ZwcwMwBG9yaWdpbgNzcnAEcG9zAzEEcHFzdHIDaGVyYmFyaXVtIHNoZWUEcXVlcnkDaGVyYmFyaXVtIHNoZWV0cwRzYWMDMQRzYW8DMQR2dGVzdGlkA1ZJUDAxNg--?p=herbarium%20sheets&fr=yfp-t-940-s&fr2=sg-gac&sado=1&pqstr=herbarium%20shee,search.yahoo.com,Search Engine
34,http://search.yahoo.com/search;_ylt=A0oG7lpGgbdNvn8AlNFXNyoA;_ylc=X1MDUCMyMTQyMzU3MDg5BF9yAzIEYW8DMQRmcgNmcmVlemUEZnIyA3NidG4EaG9zdHB2aWQDUE51Wmhrb0c3djZKcnhFSFRYdndxQTZhU0MuTHRrMjNnVVlBQll5SwRuX2dwcwM5BG9yaWdpbgNzcnAEcXVlcnkDIEJhY2NoYXJpcyBwYXRhZ29uaWNhBHNhbwMxBHZ0ZXN0aWQDVklQMDIy?p=+Baccharis+patagonica&fr2=sb-top&fr=freeze&type=W3i_NA%2C173%2C0_0%2CTab+Search%2C20101044%2C6892%2C0%2C6%2C0&type_param=W3i_NA%2C173%2C0_0%2CTab+Search%2C20101044%2C6892%2C0%2C6%2C0,search.yahoo.com,Search Engine
35,http://search.yahoo.com/search;_ylt=AnooxYbAYancSW9_NNoKHv2bvZx4?p=monstorous+fern&toggle=1&cop=mss&ei=UTF-8&fr=yfp-t-701-1,search.yahoo.com,Search Engine
36,http://sg.search.yahoo.com/search;_ylt=Als48AXAPzcCQUo1396royuCG7J_?vc=&p=herbarium+sheets&toggle=1&cop=mss&ei=UTF-8&fr=yfp-t-712,sg.search.yahoo.com,Search Engine
37,http://stjohns.campusguides.com/henslow,stjohns.campusguides.com,Referral
38,http://super-pixster.in/keyword/plantago%20australis/,super-pixster.in,Referral
39,"http://teacherweb.com/NY/Fredonia/Lauer,Mrs/apt12.aspx",teacherweb.com,Referral
40,http://thedispersalofdarwin.wordpress.com/2009/11/,thedispersalofdarwin.wordpress.com,Referral
41,http://thedispersalofdarwin.wordpress.com/category/botany/,thedispersalofdarwin.wordpress.com,Referral
42,http://thedispersalofdarwin.wordpress.com/category/collections/,thedispersalofdarwin.wordpress.com,Referral
43,http://thedispersalofdarwin.wordpress.com/?s=Beagle,thedispersalofdarwin.wordpress.com,Referral
44,http://thedispersalofdarwin.wordpress.com/?s=children%27s+books,thedispersalofdarwin.wordpress.com,Referral
45,http://translate.google.co.kr/translate?hl=ko&sl=auto&tl=ko&u=http%3A%2F%2Fwww.darwinsbeagleplants.org%2FDarwin%2FPlant.aspx%3Fp%3D25%26ix%3D358%26pid%3D0%26prcid%3D0%26ppid%3D0,translate.google.co.kr,Search Engine
46,http://translate.google.co.kr/translate_p?hl=ko&sl=auto&tl=ko&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D358%26pid%3D0%26prcid%3D0%26ppid%3D0&usg=ALkJrhg_0mfX4G27cUNBHrQ699hmo00wCw,translate.google.co.kr,Search Engine
47,http://translate.google.com.ar/translate?hl=es&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D452%26pid%3D0%26prcid%3D0%26ppid%3D0&ei=f6tETbjLA4fpgAfG86nsAQ&sa=X&oi=translate&ct=result&resnum=7&ved=0CDAQ7gEwBg&prev=/search%3Fq%3Dvicia%2Bpampicola%26hl%3Des%26rlz%3D1T4ADFA_esAR400AR400%26prmd%3Divns,translate.google.com.ar,Search Engine
48,http://translate.google.com.ar/translate_p?hl=es&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D281%26pid%3D0%26prcid%3D0%26ppid%3D0&prev=/search%3Fq%3DSenecio%2Bsubulatus%26hl%3Des%26prmd%3Divns&usg=ALkJrhjZgXpeQIkz2D01M7j2DPriAKdlZA,translate.google.com.ar,Search Engine
49,http://translate.google.com.br/translate?hl=pt-BR&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D662%26pid%3D0%26prcid%3D0%26ppid%3D0&ei=CFe_TPXCNMH68AbL09G7Bg&sa=X&oi=translate&ct=result&resnum=4&ved=0CCwQ7gEwAw&prev=/search%3Fq%3Dsolanaceae%2Bwithania%26hl%3Dpt-BR%26sa%3DG%26rlz%3D1R2SUNC_pt-BRBR377,translate.google.com.br,Search Engine
50,http://translate.google.com.br/translate?hl=pt-BR&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D662%26pid%3D0%26prcid%3D0%26ppid%3D0&ei=tFa_TOH_BMT38Aaq3MCNCg&sa=X&oi=translate&ct=result&resnum=4&ved=0CCwQ7gEwAw&prev=/search%3Fq%3Dsolanaceae%2Bwithania%26hl%3Dpt-BR%26sa%3DG%26rlz%3D1R2SUNC_pt-BRBR377,translate.google.com.br,Search Engine
51,http://translate.google.com.br/translate_p?hl=pt-BR&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D231%26pid%3D0%26prcid%3D0%26ppid%3D0&prev=/search%3Fq%3Dselaginella%2Bsulcata%26hl%3Dpt-BR%26sa%3DX%26biw%3D1024%26bih%3D539%26prmd%3Divns&twu=1&usg=ALkJrhjqrmJURUzrVzELsuJCnzzbL7kP-Q,translate.google.com.br,Search Engine
52,http://translate.google.com.co/translate_p?hl=es&langpair=en%7Ces&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D191%26pid%3D3%26prcid%3D26%26ppid%3D1502&twu=1&usg=ALkJrhgrFtgmpweT3FODVxex0DsoRmy69A,translate.google.com.co,Search Engine
53,http://translate.google.com.ec/translate_p?hl=es&sl=en&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D751%26pid%3D0%26prcid%3D0%26ppid%3D0&prev=/search%3Fq%3DScalesia%2Bpedunculata%26hl%3Des%26sa%3DN%26biw%3D1024%26bih%3D677%26prmd%3Div&usg=ALkJrhj8A1t0aqtcshHn6Tr5Kop9YdKAiw,translate.google.com.ec,Search Engine
54,http://translate.google.com/translate?hl=it&langpair=en%7Cit&u=http://www.darwinsbeagleplants.org/Darwin/Plant.aspx%3Fp%3D25%26ix%3D618%26pid%3D0%26prcid%3D0%26ppid%3D0,translate.google.com,Search Engine
