status_sk,status_code,sub_status,win32_status,status_category,status_label,description,severity
1,0,208,278,Unknown,Other,Other - 0 status code,Unknown
2,0,209,278,Unknown,Other,Other - 0 status code,Unknown
3,0,210,278,Unknown,Other,Other - 0 status code,Unknown
4,0,210,279,Unknown,Other,Other - 0 status code,Unknown
5,0,210,722,Unknown,Other,Other - 0 status code,Unknown
6,0,210,763,Unknown,Other,Other - 0 status code,Unknown
7,0,210,764,Unknown,Other,Other - 0 status code,Unknown
8,0,210,765,Unknown,Other,Other - 0 status code,Unknown
9,0,210,766,Unknown,Other,Other - 0 status code,Unknown
10,0,210,786,Unknown,Other,Other - 0 status code,Unknown
11,0,210,787,Unknown,Other,Other - 0 status code,Unknown
12,0,210,788,Unknown,Other,Other - 0 status code,Unknown
13,0,211,278,Unknown,Other,Other - 0 status code,Unknown
14,0,211,279,Unknown,Other,Other - 0 status code,Unknown
15,0,211,330,Unknown,Other,Other - 0 status code,Unknown
16,0,211,336,Unknown,Other,Other - 0 status code,Unknown
17,0,229,482,Unknown,Other,Other - 0 status code,Unknown
18,0,229,483,Unknown,Other,Other - 0 status code,Unknown
19,0,229,485,Unknown,Other,Other - 0 status code,Unknown
20,0,229,486,Unknown,Other,Other - 0 status code,Unknown
21,0,229,487,Unknown,Other,Other - 0 status code,Unknown
22,0,229,488,Unknown,Other,Other - 0 status code,Unknown
23,0,229,493,Unknown,Other,Other - 0 status code,Unknown
24,0,230,953,Unknown,Other,Other - 0 status code,Unknown
25,0,340,435,Unknown,Other,Other - 0 status code,Unknown
26,0,340,469,Unknown,Other,Other - 0 status code,Unknown
27,0,340,484,Unknown,Other,Other - 0 status code,Unknown
28,0,340,490,Unknown,Other,Other - 0 status code,Unknown
29,0,340,496,Unknown,Other,Other - 0 status code,Unknown
30,0,340,679,Unknown,Other,Other - 0 status code,Unknown
31,0,340,682,Unknown,Other,Other - 0 status code,Unknown
32,0,340,685,Unknown,Other,Other - 0 status code,Unknown
33,0,340,774,Unknown,Other,Other - 0 status code,Unknown
34,0,342,438,Unknown,Other,Other - 0 status code,Unknown
35,0,342,472,Unknown,Other,Other - 0 status code,Unknown
36,0,342,487,Unknown,Other,Other - 0 status code,Unknown
37,0,342,493,Unknown,Other,Other - 0 status code,Unknown
38,0,342,499,Unknown,Other,Other - 0 status code,Unknown
39,0,342,682,Unknown,Other,Other - 0 status code,Unknown
40,0,342,685,Unknown,Other,Other - 0 status code,Unknown
41,0,342,688,Unknown,Other,Other - 0 status code,Unknown
42,0,342,777,Unknown,Other,Other - 0 status code,Unknown
43,0,359,219,Unknown,Other,Other - 0 status code,Unknown
44,0,359,228,Unknown,Other,Other - 0 status code,Unknown
45,0,359,241,Unknown,Other,Other - 0 status code,Unknown
46,0,359,286,Unknown,Other,Other - 0 status code,Unknown
47,0,359,437,Unknown,Other,Other - 0 status code,Unknown
48,0,359,442,Unknown,Other,Other - 0 status code,Unknown
49,0,378,163,Unknown,Other,Other - 0 status code,Unknown
50,0,378,204,Unknown,Other,Other - 0 status code,Unknown
51,0,383,218,Unknown,Other,Other - 0 status code,Unknown
52,0,401,425,Unknown,Other,Other - 0 status code,Unknown
53,0,401,479,Unknown,Other,Other - 0 status code,Unknown
54,0,401,480,Unknown,Other,Other - 0 status code,Unknown
55,0,401,486,Unknown,Other,Other - 0 status code,Unknown
56,0,487,433,Unknown,Other,Other - 0 status code,Unknown
57,0,487,467,Unknown,Other,Other - 0 status code,Unknown
58,0,487,488,Unknown,Other,Other - 0 status code,Unknown
59,0,487,494,Unknown,Other,Other - 0 status code,Unknown
60,0,487,677,Unknown,Other,Other - 0 status code,Unknown
61,0,644,450,Unknown,Other,Other - 0 status code,Unknown
62,0,644,484,Unknown,Other,Other - 0 status code,Unknown
63,0,644,499,Unknown,Other,Other - 0 status code,Unknown
64,0,644,505,Unknown,Other,Other - 0 status code,Unknown
65,0,644,511,Unknown,Other,Other - 0 status code,Unknown
66,0,644,694,Unknown,Other,Other - 0 status code,Unknown
67,0,644,697,Unknown,Other,Other - 0 status code,Unknown
68,0,644,700,Unknown,Other,Other - 0 status code,Unknown
69,0,644,789,Unknown,Other,Other - 0 status code,Unknown
70,0,772,353,Unknown,Other,Other - 0 status code,Unknown
71,0,772,359,Unknown,Other,Other - 0 status code,Unknown
72,0,864,695,Unknown,Other,Other - 0 status code,Unknown
73,0,1405,743,Unknown,Other,Other - 0 status code,Unknown
74,0,1405,744,Unknown,Other,Other - 0 status code,Unknown
75,0,1715,437,Unknown,Other,Other - 0 status code,Unknown
76,0,1715,471,Unknown,Other,Other - 0 status code,Unknown
77,0,1715,486,Unknown,Other,Other - 0 status code,Unknown
78,0,1715,492,Unknown,Other,Other - 0 status code,Unknown
79,0,1715,498,Unknown,Other,Other - 0 status code,Unknown
80,0,1715,681,Unknown,Other,Other - 0 status code,Unknown
81,0,1715,684,Unknown,Other,Other - 0 status code,Unknown
82,0,1715,687,Unknown,Other,Other - 0 status code,Unknown
83,0,1715,776,Unknown,Other,Other - 0 status code,Unknown
84,0,2004,866,Unknown,Other,Other - 0 status code,Unknown
85,0,2112,700,Unknown,Other,Other - 0 status code,Unknown
86,0,2241,866,Unknown,Other,Other - 0 status code,Unknown
87,0,2299,700,Unknown,Other,Other - 0 status code,Unknown
88,0,2464,865,Unknown,Other,Other - 0 status code,Unknown
89,0,2696,700,Unknown,Other,Other - 0 status code,Unknown
90,0,2716,700,Unknown,Other,Other - 0 status code,Unknown
91,0,2793,748,Unknown,Other,Other - 0 status code,Unknown
92,0,3065,642,Unknown,Other,Other - 0 status code,Unknown
93,0,3065,674,Unknown,Other,Other - 0 status code,Unknown
94,0,3065,676,Unknown,Other,Other - 0 status code,Unknown
95,0,3065,677,Unknown,Other,Other - 0 status code,Unknown
96,0,3065,679,Unknown,Other,Other - 0 status code,Unknown
97,0,3065,680,Unknown,Other,Other - 0 status code,Unknown
98,0,3065,703,Unknown,Other,Other - 0 status code,Unknown
99,0,3264,916,Unknown,Other,Other - 0 status code,Unknown
100,0,3337,700,Unknown,Other,Other - 0 status code,Unknown
101,0,3386,700,Unknown,Other,Other - 0 status code,Unknown
