date_sk,date,country,top_browser,top_browser_requests,top_browser_share_pct
20091024,2009-10-24,Unknown,Unknown,11,100.0
20091025,2009-10-25,Unknown,Unknown,20,100.0
20091102,2009-11-02,Unknown,Unknown,3741,100.0
20091103,2009-11-03,Unknown,Unknown,3632,100.0
20091106,2009-11-06,Unknown,Unknown,281,100.0
20091120,2009-11-20,Unknown,Unknown,967,100.0
20091123,2009-11-23,Unknown,Unknown,1944,100.0
20091130,2009-11-30,Unknown,Unknown,603,100.0
20091207,2009-12-07,Unknown,Unknown,3271,100.0
20091211,2009-12-11,Unknown,Unknown,1044,100.0
20091213,2009-12-13,Unknown,Unknown,1474,100.0
20100104,2010-01-04,Unknown,Unknown,1631,100.0
20100105,2010-01-05,Unknown,Unknown,1592,100.0
20100106,2010-01-06,Unknown,Unknown,3571,100.0
20100112,2010-01-12,Unknown,Unknown,7081,100.0
20100113,2010-01-13,Unknown,Unknown,3197,100.0
20100117,2010-01-17,Unknown,Unknown,2723,100.0
20100131,2010-01-31,Unknown,Unknown,1468,100.0
20100204,2010-02-04,Unknown,Unknown,3071,100.0
20100205,2010-02-05,Unknown,Unknown,824,100.0
20100221,2010-02-21,Unknown,Unknown,1134,100.0
20100302,2010-03-02,Unknown,Unknown,2894,100.0
20100304,2010-03-04,Unknown,Unknown,1681,100.0
20100307,2010-03-07,Unknown,Unknown,1084,100.0
20100309,2010-03-09,Unknown,Unknown,1492,100.0
20100314,2010-03-14,Unknown,Unknown,1810,100.0
20100315,2010-03-15,Unknown,Unknown,3398,100.0
20100322,2010-03-22,Unknown,Unknown,1906,100.0
20100406,2010-04-06,Unknown,Unknown,2736,100.0
20100419,2010-04-19,Unknown,Unknown,1860,100.0
20100422,2010-04-22,Unknown,Unknown,1953,100.0
20100423,2010-04-23,Unknown,Unknown,2132,100.0
20100424,2010-04-24,Unknown,Unknown,1015,100.0
20100425,2010-04-25,Unknown,Unknown,1677,100.0
20100430,2010-04-30,Unknown,Unknown,1902,100.0
20100519,2010-05-19,Unknown,Unknown,1454,100.0
20100520,2010-05-20,Unknown,Unknown,1216,100.0
20100526,2010-05-26,Unknown,Unknown,1460,100.0
20100528,2010-05-28,Unknown,Unknown,1488,100.0
20100612,2010-06-12,Unknown,Unknown,979,100.0
20100615,2010-06-15,Unknown,Unknown,1132,100.0
20100619,2010-06-19,Unknown,Unknown,1094,100.0
20100622,2010-06-22,Unknown,Unknown,1580,100.0
20100626,2010-06-26,Unknown,Unknown,963,100.0
20100628,2010-06-28,Unknown,Unknown,1141,100.0
20100629,2010-06-29,Unknown,Unknown,1086,100.0
20100630,2010-06-30,Unknown,Unknown,1068,100.0
20100705,2010-07-05,Unknown,Unknown,1087,100.0
20100708,2010-07-08,Unknown,Unknown,1496,100.0
20100714,2010-07-14,Unknown,Unknown,976,100.0
20100718,2010-07-18,Unknown,Unknown,1607,100.0
20100725,2010-07-25,Unknown,Unknown,1322,100.0
20100801,2010-08-01,Unknown,Unknown,859,100.0
20100808,2010-08-08,Unknown,Unknown,797,100.0
20100809,2010-08-09,Unknown,Unknown,1919,100.0
20100830,2010-08-30,Unknown,Unknown,896,100.0
20100906,2010-09-06,Unknown,Unknown,829,100.0
20100912,2010-09-12,Unknown,Unknown,1306,100.0
20100916,2010-09-16,Unknown,Unknown,1728,100.0
20100923,2010-09-23,Unknown,Unknown,1853,100.0
20100924,2010-09-24,Unknown,Unknown,1216,100.0
20100926,2010-09-26,Unknown,Unknown,1374,100.0
20101008,2010-10-08,Unknown,Unknown,2612,100.0
20101020,2010-10-20,Unknown,Unknown,1205,100.0
20101023,2010-10-23,Unknown,Unknown,2198,100.0
20101025,2010-10-25,Unknown,Unknown,1203,100.0
20101027,2010-10-27,Unknown,Unknown,1954,100.0
20101031,2010-10-31,Unknown,Unknown,1092,100.0
20101101,2010-11-01,Unknown,Unknown,2029,100.0
20101111,2010-11-11,Unknown,Unknown,1242,100.0
20101113,2010-11-13,Unknown,Unknown,1294,100.0
20101118,2010-11-18,Unknown,Unknown,1255,100.0
20101126,2010-11-26,Unknown,Unknown,1828,100.0
20101202,2010-12-02,Unknown,Unknown,891,100.0
20101212,2010-12-12,Unknown,Unknown,1328,100.0
20101215,2010-12-15,Unknown,Unknown,1472,100.0
20101223,2010-12-23,Unknown,Unknown,980,100.0
20101225,2010-12-25,Unknown,Unknown,811,100.0
20110119,2011-01-19,Unknown,Unknown,2033,100.0
20110130,2011-01-30,Unknown,Unknown,877,100.0
20110205,2011-02-05,Unknown,Unknown,763,100.0
20110209,2011-02-09,Unknown,Unknown,2135,100.0
20110212,2011-02-12,Unknown,Unknown,979,100.0
20110218,2011-02-18,Unknown,Unknown,2045,100.0
20110306,2011-03-06,Unknown,Unknown,1024,100.0
20110405,2011-04-05,Unknown,Unknown,2300,100.0
20110407,2011-04-07,Unknown,Unknown,1829,100.0
20110411,2011-04-11,Unknown,Unknown,2508,100.0
20110424,2011-04-24,Unknown,Unknown,1318,100.0
20110427,2011-04-27,Unknown,Unknown,1583,100.0
20110504,2011-05-04,Unknown,Unknown,1487,100.0
20110510,2011-05-10,Unknown,Unknown,2638,100.0
20110516,2011-05-16,Unknown,Unknown,1511,100.0
