date_sk,date,total_crawler_requests,distinct_pages_hit,distinct_hosts_hit,total_bytes_transferred,avg_bytes_per_request,avg_response_time_ms,max_response_time_ms,pages_with_errors,pct_error_responses
20100619,2010-06-19,256,166,1,0,0.0,286.0,1533,1,14.84
20100309,2010-03-09,157,132,1,0,0.0,382.0,4838,1,11.46
20101118,2010-11-18,572,400,1,24400111,42657.54,726.0,25676,2,4.37
20110405,2011-04-05,1437,1320,1,23566366,16399.7,170.0,7241,1,2.02
20100630,2010-06-30,551,447,1,0,0.0,448.0,2551,1,8.17
20100113,2010-01-13,1496,1449,1,0,0.0,541.0,2207,1,0.67
20101215,2010-12-15,770,352,1,21344011,27719.49,978.0,21853,2,5.84
20100830,2010-08-30,334,250,1,2887997,8646.7,236.0,1633,1,7.49
20110306,2011-03-06,226,145,1,2028548,8975.88,261.0,2165,1,10.18
20100705,2010-07-05,389,298,1,0,0.0,459.0,1958,2,8.23
20100808,2010-08-08,471,390,1,3659745,7770.16,384.0,5112,1,7.43
20100809,2010-08-09,389,300,1,3242555,8335.62,456.0,17327,1,8.74
20110504,2011-05-04,559,442,1,6018607,10766.74,443.0,21892,1,8.59
20100314,2010-03-14,183,150,1,0,0.0,439.0,3693,1,13.66
20100626,2010-06-26,239,146,1,0,0.0,417.0,7573,1,16.32
20091207,2009-12-07,1998,1900,1,0,0.0,369.0,3787,1,0.3
20101008,2010-10-08,1645,1458,1,24122685,14664.25,217.0,12799,2,2.13
20100131,2010-01-31,212,201,1,0,0.0,699.0,2075,1,3.77
20100304,2010-03-04,169,150,1,0,0.0,295.0,1140,1,7.69
20100406,2010-04-06,149,122,1,0,0.0,363.0,1715,1,16.11
20100425,2010-04-25,232,179,1,0,0.0,480.0,2566,1,3.88
20100423,2010-04-23,985,926,1,0,0.0,444.0,2324,1,1.22
20110427,2011-04-27,350,285,1,3130522,8944.35,213.0,2325,2,4.57
20110119,2011-01-19,931,747,1,12391969,13310.39,311.0,4632,1,5.16
20101223,2010-12-23,357,249,1,2974753,8332.64,415.0,1889,2,10.92
20110212,2011-02-12,446,299,1,5611410,12581.64,441.0,7155,3,10.99
20100612,2010-06-12,332,247,1,0,0.0,437.0,16667,1,10.84
20100221,2010-02-21,251,207,1,0,0.0,377.0,2071,1,5.98
20091213,2009-12-13,727,715,1,0,0.0,703.0,6817,1,0.55
20100906,2010-09-06,453,360,1,4787184,10567.74,451.0,12285,1,5.52
20100923,2010-09-23,497,406,1,4551392,9157.73,292.0,20859,2,4.63
20101202,2010-12-02,432,294,1,6775226,15683.39,421.0,3175,1,6.71
20100714,2010-07-14,346,268,1,0,0.0,672.0,33203,5,8.67
20100419,2010-04-19,158,131,1,0,0.0,461.0,2759,1,13.92
20101113,2010-11-13,588,310,1,28788611,48960.22,1243.0,210271,1,5.27
20110218,2011-02-18,830,658,1,26044224,31378.58,417.0,5947,3,5.18
20110407,2011-04-07,800,697,1,7269715,9087.14,191.0,5544,2,4.25
20101111,2010-11-11,414,283,1,20236982,48881.6,497.0,6338,1,6.04
20100801,2010-08-01,292,214,1,2981787,10211.6,496.0,14572,1,5.82
20110424,2011-04-24,718,639,1,6623361,9224.74,240.0,15811,2,2.79
20100615,2010-06-15,214,140,1,0,0.0,349.0,1504,1,13.08
20091130,2009-11-30,185,185,1,0,0.0,311.0,1458,0,0.0
20101031,2010-10-31,446,220,1,5138586,11521.49,528.0,1873,1,6.95
20101212,2010-12-12,446,237,1,5046536,11315.1,565.0,5068,1,8.52
20100725,2010-07-25,532,430,1,4743016,8915.44,384.0,2229,3,5.64
20101025,2010-10-25,372,137,1,8834960,23749.89,572.0,3019,1,10.48
20100105,2010-01-05,170,161,1,0,0.0,452.0,3450,4,5.88
20100526,2010-05-26,370,273,1,0,0.0,544.0,14612,1,9.73
20100622,2010-06-22,301,211,1,0,0.0,342.0,2195,1,13.29
20091211,2009-12-11,262,259,1,0,0.0,613.0,3208,1,1.53
20100422,2010-04-22,1089,1066,1,0,0.0,381.0,3702,1,1.56
20100112,2010-01-12,1995,1728,1,0,0.0,499.0,1854,1,0.7
20110516,2011-05-16,458,375,1,4181310,9129.5,412.0,7466,1,5.9
20110411,2011-04-11,1443,1327,1,13406893,9290.99,171.0,5560,1,2.15
20100629,2010-06-29,372,271,1,0,0.0,638.0,2453,2,12.1
20100519,2010-05-19,309,224,1,0,0.0,466.0,1535,1,10.03
20100520,2010-05-20,355,263,1,0,0.0,388.0,1221,1,9.3
20100106,2010-01-06,212,199,1,0,0.0,350.0,1288,1,3.77
20100322,2010-03-22,234,197,1,0,0.0,328.0,1367,1,13.68
20101225,2010-12-25,484,376,1,3838352,7930.48,354.0,1630,1,7.85
20110130,2011-01-30,395,279,1,5819637,14733.26,948.0,23116,2,10.38
20101126,2010-11-26,402,276,1,6268647,15593.65,626.0,4735,3,8.96
20100708,2010-07-08,412,312,1,0,0.0,497.0,18685,3,7.52
20101027,2010-10-27,384,161,1,5848900,15231.51,1916.0,256152,2,7.29
20100912,2010-09-12,492,381,1,19557789,39751.6,276.0,3495,2,7.11
20101101,2010-11-01,433,206,1,6373754,14719.99,547.0,2068,2,7.62
20100430,2010-04-30,268,184,1,0,0.0,401.0,2061,32,18.28
20100104,2010-01-04,117,103,1,0,0.0,300.0,1017,1,8.55
20100302,2010-03-02,219,185,1,0,0.0,274.0,2343,1,7.31
20100424,2010-04-24,236,175,1,0,0.0,435.0,1481,1,2.97
20100718,2010-07-18,353,260,1,19232038,54481.69,513.0,3586,2,10.48
20101020,2010-10-20,270,184,1,1759307,6515.95,422.0,2708,3,14.07
20100926,2010-09-26,748,581,1,8410477,11243.95,317.0,2124,3,3.21
20110510,2011-05-10,741,595,1,8037586,10846.94,1118.0,36217,1,8.77
20100528,2010-05-28,449,351,1,0,0.0,467.0,3808,1,7.35
20101023,2010-10-23,1570,1361,1,22298309,14202.74,274.0,3303,3,2.1
20100916,2010-09-16,441,356,1,3710177,8413.1,314.0,22685,1,5.44
20100924,2010-09-24,341,257,1,3026586,8875.62,244.0,1359,1,6.74
20100204,2010-02-04,607,568,1,0,0.0,927.0,2478,2,2.31
20100205,2010-02-05,169,133,1,0,0.0,742.0,2938,2,10.65
20110205,2011-02-05,251,135,1,4563285,18180.42,335.0,1958,2,16.33
20110209,2011-02-09,228,118,1,1808763,7933.17,300.0,3322,2,17.54
20100628,2010-06-28,323,228,1,0,0.0,590.0,19150,1,13.0
20100307,2010-03-07,204,178,1,0,0.0,330.0,2837,1,8.82
20100315,2010-03-15,289,243,1,0,0.0,260.0,2700,3,9.69
20100117,2010-01-17,1304,1281,1,0,0.0,375.0,3102,1,0.84
