date_sk,date,day_name,is_weekend,holiday_flag,year,month,total_requests,unique_hosts,unique_human_hosts,unique_pages,active_countries,total_404,pct_404,avg_response_time_ms,p95_response_time_ms,total_bytes_sent,crawler_requests,pct_crawler,direct_traffic_requests,slow_requests,pct_slow_requests,peak_hour_requests,peak_traffic_hour,top_browser_share
20110306,2011-03-06,Sunday,Yes,No,2011,3,1024,35,30,464,20,122,11.91,675.0,1732.25,26281488,226,22.07,399,9,0.88,235,19,0.29
20110130,2011-01-30,Sunday,Yes,No,2011,1,877,29,22,565,15,105,11.97,618.0,1825.2,10888062,395,45.04,525,6,0.68,171,14,
20100619,2010-06-19,Saturday,Yes,No,2010,6,1094,25,20,737,12,103,9.41,394.0,891.05,0,256,23.4,1094,0,0.0,350,0,6.12
20100112,2010-01-12,Tuesday,No,No,2010,1,7081,47,44,3170,23,161,2.27,375.0,629.0,0,1995,28.17,7081,9,0.13,1378,21,3.8
20110424,2011-04-24,Sunday,Yes,No,2011,4,1318,37,29,925,22,83,6.3,384.0,1007.15,12056076,718,54.48,878,8,0.61,272,19,0.08
20091211,2009-12-11,Friday,No,No,2009,12,1044,41,41,521,19,93,8.91,485.0,1123.4,0,262,25.1,1044,0,0.0,179,15,9.77
20100630,2010-06-30,Wednesday,No,No,2010,6,1068,25,20,710,13,95,8.9,424.0,947.95,0,551,51.59,1068,1,0.09,192,16,5.06
20110212,2011-02-12,Saturday,Yes,No,2011,2,979,34,25,516,17,106,10.83,580.0,1473.1,10026377,446,45.56,563,6,0.61,135,5,0.2
20110218,2011-02-18,Friday,No,No,2011,2,2045,53,45,1110,25,181,8.85,521.0,1292.8,43744782,830,40.59,969,10,0.49,229,14,0.39
20101023,2010-10-23,Saturday,Yes,No,2010,10,2198,23,17,1705,13,84,3.82,616.0,1539.6,31587802,1570,71.43,1821,28,1.27,711,12,1.23
20101008,2010-10-08,Friday,No,No,2010,10,2612,33,27,1967,17,221,8.46,282.0,719.35,31730624,1645,62.98,1928,2,0.08,1265,23,1.0
20101031,2010-10-31,Sunday,Yes,No,2010,10,1092,36,30,468,22,109,9.98,664.0,1722.45,12778846,446,40.84,661,11,1.01,138,22,5.04
20100113,2010-01-13,Wednesday,No,No,2010,1,3197,41,37,2212,20,168,5.25,468.0,1342.0,0,1496,46.79,3197,4,0.13,335,15,2.38
20100626,2010-06-26,Saturday,Yes,No,2010,6,963,32,27,564,14,106,11.01,445.0,972.8,0,239,24.82,963,1,0.1,141,18,3.32
20100322,2010-03-22,Monday,No,No,2010,3,1906,50,48,927,21,199,10.44,445.0,1042.5,0,234,12.28,1906,8,0.42,214,11,5.09
20110407,2011-04-07,Thursday,No,No,2011,4,1829,46,38,1075,23,180,9.84,355.0,849.8,16884618,800,43.74,975,5,0.27,307,14,4.32
20100526,2010-05-26,Wednesday,No,No,2010,5,1460,45,41,788,21,154,10.55,545.0,1285.65,0,370,25.34,1460,10,0.68,166,14,0.89
20101111,2010-11-11,Thursday,No,No,2010,11,1242,28,23,647,15,117,9.42,345.0,930.95,26645157,414,33.33,562,1,0.08,202,11,2.5
20100309,2010-03-09,Tuesday,No,No,2010,3,1492,42,41,766,19,133,8.91,317.0,839.1,0,157,10.52,1492,1,0.07,535,18,2.28
20101101,2010-11-01,Monday,No,No,2010,11,2029,45,40,807,25,181,8.92,618.0,1628.6,23442720,433,21.34,698,12,0.59,450,21,3.06
20091120,2009-11-20,Friday,No,No,2009,11,967,4,4,558,3,124,12.82,307.0,870.1,0,0,0.0,967,0,0.0,518,23,
20100423,2010-04-23,Friday,No,No,2010,4,2132,53,50,1375,26,122,5.72,519.0,1450.85,0,985,46.2,2132,14,0.66,401,17,0.89
20101027,2010-10-27,Wednesday,No,No,2010,10,1954,24,20,957,14,362,18.53,677.0,1637.0,22202008,384,19.65,747,11,0.56,784,21,10.34
20110411,2011-04-11,Monday,No,No,2011,4,2508,51,41,1677,26,215,8.57,433.0,827.0,31805230,1443,57.54,1665,10,0.4,305,16,2.31
20100425,2010-04-25,Sunday,Yes,No,2010,4,1677,37,33,820,22,144,8.59,519.0,1231.8,0,232,13.83,1677,8,0.48,286,20,1.01
20091025,2009-10-25,Sunday,Yes,No,2009,10,20,1,1,13,1,8,40.0,131.0,407.3,0,0,0.0,20,0,0.0,20,8,
20100520,2010-05-20,Thursday,No,No,2010,5,1216,39,32,722,16,107,8.8,505.0,874.25,0,355,29.19,1216,3,0.25,123,19,5.51
20100912,2010-09-12,Sunday,Yes,No,2010,9,1306,28,24,772,17,106,8.12,771.0,881.75,29526907,492,37.67,703,28,2.14,257,19,4.44
20100924,2010-09-24,Friday,No,No,2010,9,1216,22,19,666,13,79,6.5,286.0,891.75,13296308,341,28.04,551,0,0.0,287,6,3.95
20091207,2009-12-07,Monday,No,No,2009,12,3271,66,64,2193,22,137,4.19,392.0,858.5,0,1998,61.08,3271,13,0.4,457,15,3.24
20110209,2011-02-09,Wednesday,No,No,2011,2,2135,46,42,1165,24,189,8.85,493.0,1227.8,35268065,228,10.68,374,11,0.52,1017,7,0.61
20100808,2010-08-08,Sunday,Yes,No,2010,8,797,21,16,550,13,70,8.78,433.0,895.0,8408524,471,59.1,634,2,0.25,59,14,7.65
20100519,2010-05-19,Wednesday,No,No,2010,5,1454,41,37,829,24,129,8.87,567.0,1330.55,0,309,21.25,1454,13,0.89,272,10,0.21
20100801,2010-08-01,Sunday,Yes,No,2010,8,859,27,24,505,12,237,27.59,470.0,1026.6,25390161,292,33.99,602,6,0.7,183,4,2.56
20110119,2011-01-19,Wednesday,No,No,2011,1,2033,32,25,1151,16,206,10.13,395.0,1075.8,39842998,931,45.79,1165,7,0.34,686,10,0.59
20100612,2010-06-12,Saturday,Yes,No,2010,6,979,26,23,691,12,82,8.38,443.0,695.4,0,332,33.91,979,3,0.31,112,15,7.15
