user_agent_sk,ua_hash,user_agent,agent_type,browser_name,browser_version,operating_system,device_type
-1,0000000000000000000000000000000000000000000000000000000000000000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,ce6bafb4f83f810ea59aa342778e26b1f24016659352f20f0555950a465694d8,(compatible;+MSIE+7.0;+Windows+NT+5.1;+Trident/4.0;+.NET+CLR+2.0.50727;+.NET+CLR+3.0.4506.2152;+.NET+CLR+;+http://www.talktalk.co.uk/products/virus-alerts/),Browser,IE,8.0,Windows,Desktop
2,74c8ee09c99deb6fbe75038e97144f7176fd19904afa437f54b23b30e8068d6d,AcadiaUniversityWebCensusClient,Browser,Other,Unknown,Other,Other
3,96fe329a90d5dfd6af022689d29b463531b0176b75a6bfa08956fc0eb3a5f666,acquia-crawler+(detected+bad+behaviour?+please+tell+us+at+it@acquia.com),Crawler,acquia-crawler,Unknown,Other,Bot
4,485c1ed9fb4ad67fadfa3d7648a033d07cd173ff4aa8de5c5f7afd19b0bda881,agbot/1.0+(AgHaven.com+search+engine+crawler;+http://search.aghaven.com;+bot@aghaven.com),Crawler,agbot,1.0,Other,Bot
5,d0318f3cc670b5dbdf5065c9e2b691a9f472405aebadca2a7bf9e925b8e4d119,Aghaven/Nutch-1.2,Crawler,Nutch,1.2,Other,Bot
6,6c3eb023d106dcb442146b82f3517b3652aa00a09416623be72a833d107abf13,Apache-HttpClient/4.0.1+(java+1.5),Browser,Apache-HttpClient,4.0.1,Other,Other
7,dbb4b64ff3a12c44142fcc80ee71ee37333f2474b1360aa1ed60e74e9b206c40,AppEngine-Google;+(+http://code.google.com/appengine;+appid:+cdeskinsp),Crawler,AppEngine-Google,Unknown,Other,Bot
8,ed4596e0c57c85d3d270859f99d73c874e0862d7dce63fd5f80d1190376c9466,Avant+Browser,Browser,Avant,1,Other,Mobile
9,9ec0aaa08245400e63ea77d3a0bf815f3d62d9be2245a62a1c4a6d3917e0e8a0,Baiduspider+(+http://www.baidu.com/search/spider.htm),Crawler,Baiduspider,Unknown,Other,Bot
10,2b47acf59fc38c71319274c237708bd788f7f1dece4712d067ca7852ffbcccd0,Baiduspider+(+http://www.baidu.jp/spider/),Crawler,Baiduspider,Unknown,Other,Bot
11,442774202bf16b5e665943943774efd5058e7c23b5cbf86ff55a79c2f539a0dc,Baiduspider-image+(+http://www.baidu.com/search/spider.htm),Crawler,Baiduspider-image,Unknown,Other,Bot
12,43659746afb66e82af7c5193f752c69b00fea0ce0bc0cfce61ce8006f7567a9a,BlackBerry9000/4.6.0.167+Profile/MIDP-2.0+Configuration/CLDC-1.1+VendorID/102+ips-agent,Browser,BlackBerry,9000,BlackBerry OS,Mobile
