date_sk,date,day_name,hour,time_band,total_requests,unique_pages,unique_hosts,total_404,pct_404,avg_response_time_ms,p95_response_time_ms,total_bytes_sent,crawler_requests,pct_crawler,slow_requests,pct_slow_requests
20100113,2010-01-13,Wednesday,5,Early Morning,151,149,5,4,2.65,466.0,1276.0,0,122,80.79,0,0.0
20100714,2010-07-14,Wednesday,10,Morning,37,21,5,4,10.81,840.0,2313.4,0,13,35.14,0,0.0
20100205,2010-02-05,Friday,11,Morning,51,39,5,8,15.69,316.0,1086.5,0,2,3.92,0,0.0
20100708,2010-07-08,Thursday,20,Evening,23,21,5,3,13.04,403.0,642.6,0,15,65.22,0,0.0
20100221,2010-02-21,Sunday,18,Evening,28,21,5,7,25.0,413.0,823.7,0,9,32.14,0,0.0
20100113,2010-01-13,Wednesday,6,Morning,59,58,5,3,5.08,629.0,1653.7,0,29,49.15,0,0.0
20100314,2010-03-14,Sunday,9,Morning,30,23,5,3,10.0,445.0,866.85,0,5,16.67,0,0.0
20100430,2010-04-30,Friday,5,Early Morning,24,23,5,1,4.17,436.0,636.85,0,3,12.5,0,0.0
20100419,2010-04-19,Monday,5,Early Morning,35,35,5,2,5.71,666.0,1222.2,0,4,11.43,0,0.0
20100714,2010-07-14,Wednesday,5,Early Morning,17,16,5,2,11.76,590.0,1128.0,0,13,76.47,0,0.0
20100629,2010-06-29,Tuesday,4,Early Morning,18,17,5,2,11.11,561.0,879.0,0,10,55.56,0,0.0
20100629,2010-06-29,Tuesday,7,Morning,18,17,5,1,5.56,600.0,864.55,0,12,66.67,0,0.0
20100117,2010-01-17,Sunday,19,Evening,101,90,5,5,4.95,302.0,670.0,0,15,14.85,0,0.0
20100630,2010-06-30,Wednesday,5,Early Morning,19,17,5,0,0.0,680.0,978.7,0,14,73.68,0,0.0
20100314,2010-03-14,Sunday,4,Early Morning,26,23,5,4,15.38,404.0,645.0,0,5,19.23,0,0.0
20100302,2010-03-02,Tuesday,17,Afternoon,27,26,5,2,7.41,541.0,1294.2,0,12,44.44,0,0.0
20100423,2010-04-23,Friday,8,Morning,21,19,5,0,0.0,566.0,1603.0,0,13,61.9,0,0.0
20100424,2010-04-24,Saturday,12,Afternoon,15,12,5,3,20.0,375.0,719.5,0,8,53.33,0,0.0
20100131,2010-01-31,Sunday,10,Morning,58,56,5,4,6.9,389.0,819.8,0,12,20.69,0,0.0
20100106,2010-01-06,Wednesday,19,Evening,56,50,5,5,8.93,329.0,651.25,0,3,5.36,0,0.0
20100204,2010-02-04,Thursday,2,Early Morning,40,39,5,3,7.5,625.0,1372.5,0,9,22.5,0,0.0
20100315,2010-03-15,Monday,8,Morning,46,43,5,3,6.52,313.0,837.5,0,7,15.22,0,0.0
20100714,2010-07-14,Wednesday,21,Evening,18,16,5,3,16.67,467.0,1118.15,0,12,66.67,0,0.0
20100714,2010-07-14,Wednesday,15,Afternoon,45,42,5,4,8.89,401.0,899.6,0,16,35.56,0,0.0
20100430,2010-04-30,Friday,15,Afternoon,23,21,5,2,8.7,426.0,648.9,0,6,26.09,0,0.0
20100628,2010-06-28,Monday,15,Afternoon,43,37,5,6,13.95,351.0,873.4,0,14,32.56,0,0.0
20100622,2010-06-22,Tuesday,22,Evening,147,100,5,29,19.73,504.0,1995.4,0,11,7.48,0,0.0
