geolocation_sk,geo_hash,country,region,city,latitude,longitude,isp
-1,0000000000000000000000000000000000000000000000000000000000000000,Unknown,Unknown,Unknown,,,-
1,F0F6DA2B973B213DAA3438FCE7EDDD6968A21EFAD4C64336F9FC1C79382A2773,Algeria,Blida,Blida,36.53120040893555,3.0697999000549316,Telecom Algeria
2,C2F91E5DEFCFE09E47DD54E111A5E9FCC4633E03B20147D18AF7CE0135180A13,Algeria,Unknown,Unknown,36.764198303222656,3.1468000411987305,Algerian Academic Research Network
3,E73C8D103F9A6DE851D08DBCE676AB7894EE7ED0F3FE75A83A7FA3CE38F7C45A,Argentina,Buenos Aires,Avellaneda,-34.65039825439453,-58.38779830932617,Universidad Nacional de Buenos Aires
4,BEEEFFB1DC1BB13FBC4692CE7BE2483D781A22D4C31CCA92BA6ECCBBBA6157C3,Argentina,Buenos Aires,Bahía Blanca,-38.72209930419922,-62.28580093383789,Telecom Argentina S.A.
5,21402553549CEDA437D03F8F7AE5C69449EC948C95FBF9AEFBD890F330EB9513,Argentina,Buenos Aires,Balcarce,-37.8380012512207,-58.25559997558594,Telefonica de Argentina
6,0FE2A51DBAB95B68A0082ACDCC118BDEBEAE944D0CDB65AC76D7EFC946CBB2E4,Argentina,Buenos Aires,Baradero,-33.79570007324219,-59.52009963989258,Telecom Argentina S.A.
7,222596696B755F7BC6364319F788AFDB4B7E68424E53C11E2D00E57F8066151B,Argentina,Buenos Aires,Bella Vista,-34.51060104370117,-58.75360107421875,Telefonica de Argentina
8,508943C7D77E2339C4C330C9F1FF1CB7DB269B86C2E06F4260D32EC8E69C6F61,Argentina,Buenos Aires,Ciudadela,-34.631099700927734,-58.53369903564453,Telecom Argentina S.A.
9,A4A9FFCA8731CF3B09C2C8AAACC9CB2AE6C6B2437F225CAFC7D6F44E9D61D38E,Argentina,Buenos Aires,Darregueira,-37.702598571777344,-63.168701171875,Telefonica de Argentina
10,1D9451379EBBEFC7687F0921DB3CC2A5E7AE5B36EEFDC12460FFEDE5EEF5BB28,Argentina,Buenos Aires,Hurlingham,-34.59960174560547,-58.6265983581543,Telefonica de Argentina
11,974D7289407E1BAB7D58CC1D8B196A7216CF2E55F381B398087E7CFD8B1CC056,Argentina,Buenos Aires,La Plata,-34.93090057373047,-57.94169998168945,Universidad Nacional de La Plata
12,D4C86850A5FE542A55959F401BF582A0442E22766B41C5F04FF8EDB8AA0AC961,Argentina,Buenos Aires,La Plata,-34.92150115966797,-57.954498291015625,CyberWave S.A.
13,9572BB89519A788746606659BC65E0EB051ABCF6B75809A4A833871B13AC37EA,Argentina,Buenos Aires,Lanus,-34.716400146484375,-58.387001037597656,Velconet SA
14,D50EE0BCD858CE0F4171609DEB6FA95FA9E20274F2D69B6B7771CBECAC701E7C,Argentina,Buenos Aires,Mar del Plata,-37.99509811401367,-57.54100036621094,Telefonica de Argentina
15,FEFE30443FEC13A40632EFFDFDE03C06E80FD4226C2812989FAD99CC3FA3B2BF,Argentina,Buenos Aires,Morón,-34.643798828125,-58.60960006713867,Telecom Argentina S.A.
16,9256B536C796C3E51D97360AFECB70CB05D454A597BD1B3CB08645C416850C64,Argentina,Buenos Aires,Olavarría,-36.901798248291016,-60.285499572753906,Telecom Argentina S.A.
