time_sk,hour,minute,am_pm,time_band,shift_id
0,0,0,AM,Early Morning,1
1,0,1,AM,Early Morning,1
2,0,2,AM,Early Morning,1
3,0,3,AM,Early Morning,1
4,0,4,AM,Early Morning,1
5,0,5,AM,Early Morning,1
6,0,6,AM,Early Morning,1
7,0,7,AM,Early Morning,1
8,0,8,AM,Early Morning,1
9,0,9,AM,Early Morning,1
10,0,10,AM,Early Morning,1
11,0,11,AM,Early Morning,1
12,0,12,AM,Early Morning,1
13,0,13,AM,Early Morning,1
14,0,14,AM,Early Morning,1
15,0,15,AM,Early Morning,1
16,0,16,AM,Early Morning,1
17,0,17,AM,Early Morning,1
18,0,18,AM,Early Morning,1
19,0,19,AM,Early Morning,1
20,0,20,AM,Early Morning,1
21,0,21,AM,Early Morning,1
22,0,22,AM,Early Morning,1
23,0,23,AM,Early Morning,1
24,0,24,AM,Early Morning,1
25,0,25,AM,Early Morning,1
26,0,26,AM,Early Morning,1
27,0,27,AM,Early Morning,1
28,0,28,AM,Early Morning,1
29,0,29,AM,Early Morning,1
30,0,30,AM,Early Morning,1
31,0,31,AM,Early Morning,1
32,0,32,AM,Early Morning,1
33,0,33,AM,Early Morning,1
34,0,34,AM,Early Morning,1
35,0,35,AM,Early Morning,1
36,0,36,AM,Early Morning,1
37,0,37,AM,Early Morning,1
38,0,38,AM,Early Morning,1
39,0,39,AM,Early Morning,1
40,0,40,AM,Early Morning,1
41,0,41,AM,Early Morning,1
42,0,42,AM,Early Morning,1
43,0,43,AM,Early Morning,1
44,0,44,AM,Early Morning,1
45,0,45,AM,Early Morning,1
46,0,46,AM,Early Morning,1
47,0,47,AM,Early Morning,1
48,0,48,AM,Early Morning,1
49,0,49,AM,Early Morning,1
50,0,50,AM,Early Morning,1
51,0,51,AM,Early Morning,1
52,0,52,AM,Early Morning,1
53,0,53,AM,Early Morning,1
54,0,54,AM,Early Morning,1
55,0,55,AM,Early Morning,1
56,0,56,AM,Early Morning,1
57,0,57,AM,Early Morning,1
58,0,58,AM,Early Morning,1
59,0,59,AM,Early Morning,1
100,1,0,AM,Early Morning,1
101,1,1,AM,Early Morning,1
102,1,2,AM,Early Morning,1
103,1,3,AM,Early Morning,1
104,1,4,AM,Early Morning,1
105,1,5,AM,Early Morning,1
106,1,6,AM,Early Morning,1
107,1,7,AM,Early Morning,1
108,1,8,AM,Early Morning,1
109,1,9,AM,Early Morning,1
110,1,10,AM,Early Morning,1
111,1,11,AM,Early Morning,1
112,1,12,AM,Early Morning,1
113,1,13,AM,Early Morning,1
114,1,14,AM,Early Morning,1
115,1,15,AM,Early Morning,1
116,1,16,AM,Early Morning,1
117,1,17,AM,Early Morning,1
118,1,18,AM,Early Morning,1
119,1,19,AM,Early Morning,1
120,1,20,AM,Early Morning,1
121,1,21,AM,Early Morning,1
122,1,22,AM,Early Morning,1
123,1,23,AM,Early Morning,1
124,1,24,AM,Early Morning,1
125,1,25,AM,Early Morning,1
126,1,26,AM,Early Morning,1
127,1,27,AM,Early Morning,1
128,1,28,AM,Early Morning,1
129,1,29,AM,Early Morning,1
130,1,30,AM,Early Morning,1
131,1,31,AM,Early Morning,1
132,1,32,AM,Early Morning,1
133,1,33,AM,Early Morning,1
134,1,34,AM,Early Morning,1
135,1,35,AM,Early Morning,1
136,1,36,AM,Early Morning,1
137,1,37,AM,Early Morning,1
138,1,38,AM,Early Morning,1
139,1,39,AM,Early Morning,1
140,1,40,AM,Early Morning,1
141,1,41,AM,Early Morning,1
142,1,42,AM,Early Morning,1
143,1,43,AM,Early Morning,1
144,1,44,AM,Early Morning,1
145,1,45,AM,Early Morning,1
146,1,46,AM,Early Morning,1
147,1,47,AM,Early Morning,1
148,1,48,AM,Early Morning,1
149,1,49,AM,Early Morning,1
150,1,50,AM,Early Morning,1
151,1,51,AM,Early Morning,1
152,1,52,AM,Early Morning,1
153,1,53,AM,Early Morning,1
154,1,54,AM,Early Morning,1
155,1,55,AM,Early Morning,1
156,1,56,AM,Early Morning,1
157,1,57,AM,Early Morning,1
158,1,58,AM,Early Morning,1
159,1,59,AM,Early Morning,1
200,2,0,AM,Early Morning,1
201,2,1,AM,Early Morning,1
202,2,2,AM,Early Morning,1
203,2,3,AM,Early Morning,1
204,2,4,AM,Early Morning,1
205,2,5,AM,Early Morning,1
206,2,6,AM,Early Morning,1
207,2,7,AM,Early Morning,1
208,2,8,AM,Early Morning,1
209,2,9,AM,Early Morning,1
210,2,10,AM,Early Morning,1
211,2,11,AM,Early Morning,1
212,2,12,AM,Early Morning,1
213,2,13,AM,Early Morning,1
214,2,14,AM,Early Morning,1
215,2,15,AM,Early Morning,1
216,2,16,AM,Early Morning,1
217,2,17,AM,Early Morning,1
218,2,18,AM,Early Morning,1
219,2,19,AM,Early Morning,1
220,2,20,AM,Early Morning,1
221,2,21,AM,Early Morning,1
222,2,22,AM,Early Morning,1
223,2,23,AM,Early Morning,1
224,2,24,AM,Early Morning,1
225,2,25,AM,Early Morning,1
226,2,26,AM,Early Morning,1
227,2,27,AM,Early Morning,1
228,2,28,AM,Early Morning,1
229,2,29,AM,Early Morning,1
230,2,30,AM,Early Morning,1
231,2,31,AM,Early Morning,1
232,2,32,AM,Early Morning,1
233,2,33,AM,Early Morning,1
234,2,34,AM,Early Morning,1
235,2,35,AM,Early Morning,1
236,2,36,AM,Early Morning,1
237,2,37,AM,Early Morning,1
238,2,38,AM,Early Morning,1
239,2,39,AM,Early Morning,1
240,2,40,AM,Early Morning,1
241,2,41,AM,Early Morning,1
242,2,42,AM,Early Morning,1
243,2,43,AM,Early Morning,1
244,2,44,AM,Early Morning,1
245,2,45,AM,Early Morning,1
246,2,46,AM,Early Morning,1
247,2,47,AM,Early Morning,1
248,2,48,AM,Early Morning,1
249,2,49,AM,Early Morning,1
250,2,50,AM,Early Morning,1
251,2,51,AM,Early Morning,1
252,2,52,AM,Early Morning,1
253,2,53,AM,Early Morning,1
254,2,54,AM,Early Morning,1
255,2,55,AM,Early Morning,1
256,2,56,AM,Early Morning,1
257,2,57,AM,Early Morning,1
258,2,58,AM,Early Morning,1
